City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,jianshui,23.6363,102.8264,17.28,92,100,1.2,CN,1699835667
212,akureyri,65.6835,-18.0878,-2.04,80,20,1.54,IS,1699835667
213,manokwari,-0.8667,134.0833,28.8,75,86,2.47,ID,1699835668
214,santa ana,33.7456,-117.8678,29.73,34,75,5.14,US,1699835668
215,ta`u,-14.2336,-169.5144,27.88,79,17,4.44,AS,1699835668
216,arklow,52.7931,-6.1414,12.27,97,100,10.0,IE,1699835668
217,manacapuru,-3.2997,-60.6206,28.88,65,96,1.47,BR,1699835668
218,palmer,42.1584,-72.3287,0.64,75,0,1.2,US,1699835668
219,antigonish,45.6169,-61.9986,3.79,87,53,1.34,CA,1699835605
220,tarime,-1.35,34.3667,16.88,94,97,1.14,TZ,1699835669
221,thinadhoo,0.5333,72.9333,26.76,77,100,0.84,MV,1699835669
222,gaigeturi,33.4644,126.3183,9.03,57,75,5.66,KR,1699835669
223,loukhi,66.0764,33.0381,-4.35,97,85,2.37,RU,1699835669
224,kolwezi,-10.7148,25.4667,16.16,97,80,1.64,CD,1699835670
225,selkirk,50.1436,-96.8845,4.54,76,0,4.02,CA,1699835670
226,souillac,-20.5167,57.5167,20.21,88,20,2.57,MU,1699835670
227,cooma,-36.2333,149.1333,22.68,25,93,0.41,AU,1699835670
228,onega,63.9061,38.1404,-3.8,77,61,6.41,RU,1699835670
229,margate,51.3813,1.3862,10.17,98,100,2.24,GB,1699835636
230,novodvinsk,64.4165,40.8122,-3.45,93,39,4.25,RU,1699835671
231,west island,-12.1568,96.8225,26.99,83,40,4.63,CC,1699835671
232,namibe,-15.1961,12.1522,22.12,77,97,0.41,AO,1699835671
233,coquimbo,-29.9533,-71.3436,14.85,77,20,5.14,CL,1699835448
234,zeya,53.75,127.2667,-3.62,42,0,4.14,RU,1699835672
235,cole harbour,44.6724,-63.4751,3.71,80,67,4.63,CA,1699835672
236,freetown,8.484,-13.2299,26.46,87,17,2.05,SL,1699835672
237,tamandare,-8.7597,-35.1047,23.82,77,1,2.06,BR,1699835672
238,warrnambool,-38.3833,142.4833,19.64,57,5,4.8,AU,1699835674
239,el calafate,-50.3408,-72.2768,7.66,75,100,3.43,AR,1699835674
240,carnarvon,-24.8667,113.6333,22.63,70,30,4.07,AU,1699835674
241,kuala tungkal,-0.8167,103.4667,27.1,82,80,1.59,ID,1699835674
242,kerikeri,-35.2268,173.9474,20.1,51,0,3.93,NZ,1699835674
243,binka,21.0333,83.8,19.64,73,23,0.74,IN,1699835675
244,puerto cabezas,14.0351,-83.3888,26.14,92,99,4.56,NI,1699835675
245,polyarnyy,69.1989,33.4478,-9.61,96,97,4.42,RU,1699835675
246,torredembarra,41.1451,1.3986,19.27,82,0,1.54,ES,1699835675
247,gateway,26.5776,-81.7504,27.21,82,20,7.2,US,1699835516
248,remire-montjoly,4.9167,-52.2667,27.39,82,2,5.44,GF,1699835676
249,ibiruba,-28.6275,-53.0897,21.26,96,95,5.68,BR,1699835676
250,katsuren-haebaru,26.3369,127.8719,22.01,64,100,7.72,JP,1699835676
251,nar'yan-mar,67.6713,53.087,-11.61,94,52,2.24,RU,1699835676
252,ribas do rio pardo,-20.4431,-53.7592,29.31,34,9,3.67,BR,1699835676
253,qaqortoq,60.7167,-46.0333,-8.1,89,24,0.57,GL,1699835677
254,saint-philippe,-21.3585,55.7679,20.77,83,71,2.92,RE,1699835677
255,kirakira,-10.4544,161.9205,27.09,81,100,1.15,SB,1699835677
256,elliot lake,46.3834,-82.6331,4.6,82,100,5.8,CA,1699835677
257,soio,-6.1349,12.3689,25.63,87,100,2.47,AO,1699835678
258,egilsstadir,65.2653,-14.3948,-1.05,93,75,3.6,IS,1699835678
259,mana,5.6592,-53.7767,26.49,86,6,4.71,GF,1699835678
260,malanje,-9.5402,16.341,17.17,99,96,0.68,AO,1699835678
261,carutapera,-1.195,-46.02,26.23,78,0,3.77,BR,1699835678
262,albany,42.6001,-73.9662,-0.18,76,5,0.71,US,1699835389
263,isla mujeres,21.2311,-86.731,26.03,75,58,6.45,MX,1699835679
